,Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0,Afghanistan,Developing,58.19375,269.0625,1252,0.014375,34.9601100659375,64.5625,37796,15.51875,1721,48.375,8.2525,52.3125,0.1,340.01542546875,9972259.8125,16.58125,15.581249999999999,0.415375,8.2125
1,Albania,Developing,75.15625,45.0625,11,4.84875,193.259090710625,98.0,854,49.06875,15,98.125,5.945625,98.0625,0.1,2119.726678875,696911.625,1.61875,1.7,0.709875,12.1375
2,Algeria,Developing,73.61875,108.1875,325,0.4066666666666667,236.185240668625,78.0,31102,48.74375,376,91.75,4.604,91.875,0.1,2847.8533923125,21649827.4375,6.09375,5.975,0.694875,12.7125
3,Angola,Developing,49.01875,328.5625,1340,5.740666666666667,102.10026837,70.22222222222223,56981,18.01875,2122,46.125,3.9193333333333333,47.6875,2.36875,1975.14304511875,10147099.1875,6.1937500000000005,6.66875,0.45837500000000003,8.04375
4,Antigua and Barbuda,Developing,75.05625,127.5,0,7.949333333333333,1001.58522632875,98.26666666666667,0,38.425,0,96.9375,4.791333333333333,98.3125,0.125,9759.305728125,,3.425,3.375,0.48862500000000003,8.84375
5,Argentina,Developing,75.15625,106.0,162,7.966666666666667,773.0389813131251,81.28571428571429,32,54.98125,182,93.375,6.9126666666666665,92.375,0.1,6998.575103125,20121204.5,1.075,0.9500000000000001,0.794125,16.50625
6,Armenia,Developing,73.4,117.375,16,3.7026666666666666,131.0074187505,87.5625,4388,44.70625,16,89.125,4.8613333333333335,87.375,0.1,1999.98631765,1015164.625,2.0375,2.1125000000000003,0.698375,11.7875
7,Australia,Developed,81.8125,63.1875,16,10.155333333333335,5332.2264727375,93.4,1663,55.8625,22,86.75,8.836666666666668,86.875,0.1,34637.565046875,4587009.875,0.66875,0.625,0.9181250000000001,20.0375
8,Austria,Developed,81.48125,65.75,0,12.235999999999999,4928.4391880525,81.0625,1236,48.2875,0,86.0,4.715333333333334,86.75,0.1,33827.47630875,6474879.875,1.73125,1.9375,0.862375,15.3875
9,Azerbaijan,Developing,70.73125,115.1875,97,0.9919999999999999,131.1487469148125,59.214285714285715,9571,43.84375,115,75.8125,5.679333333333333,82.3125,0.1,3302.94780699375,2157370.5,2.9,2.94375,0.7026875,11.35
10,Bahamas,Developing,74.2875,152.0625,0,10.271333333333333,0.0,83.6,0,52.88125,0,95.0,6.706,95.75,0.11875000000000001,,,2.55,2.51875,0.7379375,12.425
11,Bahrain,Developing,75.725,65.375,0,1.9346666666666665,602.087139648875,98.125,107,51.65625,0,98.0,3.8073333333333332,98.0625,0.1,11191.247420625,,6.10625,5.95,0.8079375,14.1125
12,Bangladesh,Developing,69.3,141.375,2458,0.01,32.3209715146875,77.61538461538461,74399,12.875,3225,87.5,2.8546666666666667,92.75,0.1,443.561481025,42985163.875,13.775,14.33125,0.517875,8.69375
13,Barbados,Developing,74.35625,77.625,0,8.206666666666667,389.07699521374997,84.06666666666666,0,45.975,0,80.3125,6.122,89.9375,0.25625,12017.098529375,,3.95625,3.91875,0.7704375,14.89375
14,Belarus,Developing,69.90625,218.75,9,13.497333333333334,329.046455333125,88.9375,397,54.74375,14,89.875,6.191999999999999,92.1875,0.1,3811.525348,6371866.8125,2.2125,2.3375,0.74325,14.75
15,Belgium,Developed,80.68125,70.1875,4,11.042666666666666,2392.4326567562503,74.5,1305,50.89375,16,97.75,5.962000000000001,97.3125,0.1,16915.306,2884042.5625,0.8625,0.8562500000000001,0.87775,16.7875
16,Belize,Developing,69.26875,155.5,0,6.252666666666667,365.843489793125,94.75,0,37.675,0,95.5,5.039333333333333,95.1875,0.43125,3933.0121745,170392.875,3.55625,3.4875,0.6939375,12.45625
17,Benin,Developing,57.56875,269.375,400,1.0,43.99195641925,62.57142857142857,17870,19.6125,628,67.6875,4.636,67.9375,1.70625,561.167968,3942978.9375,8.25,8.1375,0.4380625,8.85
18,Bhutan,Developing,66.1625,230.25,11,0.2786666666666667,134.76406995375,94.125,1284,17.58125,15,89.375,5.346,93.875,0.35625,1353.98694560625,492584.9375,17.21875,17.925,0.18387499999999998,10.225
19,Bolivia (Plurinational State of),Developing,67.70625,177.5,172,3.212,0.0,82.875,122,44.81875,224,81.6875,5.626,87.375,0.15625,,,1.3,1.1875,0.63375,13.9625
20,Bosnia and Herzegovina,Developing,75.96875,64.9375,0,4.405333333333333,215.45745909825,71.66666666666667,5107,48.9625,0,78.3125,8.741999999999999,78.5,0.1,2245.0260235625,1986993.0625,2.78125,2.75625,0.45037499999999997,12.225
21,Botswana,Developing,56.05,448.125,32,4.67,334.26697087218747,87.3125,3806,32.24375,50,96.1875,5.510666666666666,95.8125,16.525,4498.2854311875,1063867.375,7.4375,7.8125,0.630375,12.1375
22,Brazil,Developing,73.38125,150.6875,1092,7.213333333333334,390.69559517187497,96.1875,1526,47.0625,1236,98.3125,8.019333333333334,97.9375,0.1,6143.1617935,88128071.25,3.05,3.0125,0.7101875,14.1625
23,Brunei Darussalam,Developing,76.4875,67.0625,0,0.37866666666666665,1276.879485248125,97.875,117,29.718750000000004,0,97.5,2.82,96.8125,0.1,19744.808101875,,6.2,5.675,0.839375,14.10625
24,Bulgaria,Developed,72.85,125.5,15,10.865333333333332,350.74520402625,94.5,24485,54.5,16,94.25,7.236000000000001,94.0,0.1,4938.981821375,5290923.9375,2.13125,2.15625,0.754625,13.725
25,Burkina Faso,Developing,55.64375,252.5,716,4.241333333333333,52.0455813263125,81.1,81468,15.5,1279,69.0,6.037999999999999,77.3125,1.8375,410.37203431250003,6143694.8125,7.41875,6.98125,0.2296875,5.40625
26,Burundi,Developing,55.5375,291.5625,372,4.1033333333333335,15.335497774875,93.33333333333333,21592,15.3125,569,86.625,7.089333333333333,85.75,3.0875,137.81532131875,3915446.6875,8.01875,8.0125,0.327875,7.48125
27,Cabo Verde,Developing,72.51875,116.1875,0,3.448,188.6329873781875,80.64285714285714,2,24.375,0,84.375,4.755333333333334,79.0,0.53125,2023.54103925,292600.25,8.0125,7.975,0.57,12.2
28,Cambodia,Developing,64.34375,196.375,268,1.486,33.7965609773125,79.6,30093,15.3625,328,74.1875,5.740666666666667,72.0625,1.025,466.19687805,7145967.4375,10.14375,10.88125,0.4919375,9.875
29,Cameroon,Developing,54.01875,294.875,879,4.141333333333334,44.4622999386875,76.81818181818181,47668,23.61875,1379,72.5,4.719333333333334,69.4375,6.2125,781.0160044125,9967291.9375,6.55,6.60625,0.47000000000000003,8.90625
30,Canada,Developing,81.6875,64.625,32,8.053333333333333,4694.078971425,28.846153846153847,2072,55.8625,32,85.3125,7.0520000000000005,91.0625,0.1,29382.907523125,11364053.8125,0.50625,0.4375,0.8921875,15.875
31,Central African Republic,Developing,48.5125,333.0625,264,1.2313333333333332,40.905543112125,42.57142857142857,11191,17.0875,392,41.3125,4.039333333333333,42.4375,8.98125,363.05590485,2016546.125,7.10625,7.0875,0.3355,6.2375
32,Chad,Developing,50.3875,227.75,718,0.41133333333333333,32.2773204970625,29.875,75004,16.31875,1250,32.875,4.379333333333333,26.8125,4.3375,484.79169405625,4114092.0625,7.14375,7.04375,0.316625,6.0875
33,Chile,Developing,79.45,63.625,32,6.978,775.54081278375,77.2,17,55.5875,35,83.625,6.911333333333333,88.8125,0.1,6202.3443635625,14671763.9375,0.8875000000000001,0.9125000000000001,0.8013125,14.9
34,China,Developing,74.2625,73.75,4718,4.1819999999999995,73.5837628956875,80.4375,1053727,21.80625,5600,93.6875,4.918,93.3125,0.1,2345.3031576875,321812.0625,4.6375,4.025,0.66025,11.4375
35,Colombia,Developing,73.2875,124.25,222,4.419333333333333,516.640179215,79.0,152,49.54375,262,84.25,6.34,79.1875,0.1,3321.6607483125,31767432.625,2.3,2.075,0.681875,12.23125
36,Comoros,Developing,61.58125,240.9375,27,0.13466666666666666,47.7314576225,76.46153846153847,1002,18.25625,32,67.8125,4.832,66.9375,0.28125,630.38433406875,532200.6875,7.275,7.1625,0.324625,9.95625
37,Congo,Developing,59.04375,322.75,126,2.1733333333333333,0.0,50.77777777777778,16346,20.925,187,52.4375,2.9866666666666664,55.25,4.9875,,,8.4875,8.125,0.5283125,10.0875
38,Cook Islands,Developing,,,0,0.01,0.0,98.0,0,82.8,0,98.0,3.58,98.0,0.1,,,0.1,0.1,,
39,Costa Rica,Developing,78.59375,69.375,16,3.9246666666666665,972.359149879375,79.3125,3,46.725,16,69.9375,8.620000000000001,79.75,0.1,3957.22728625,2309299.4375,1.9625,1.90625,0.7369375,12.8375
40,Croatia,Developed,76.11875,89.0,0,12.448,1162.85632917,96.22222222222223,379,52.35625,0,95.5,7.370666666666667,95.375,0.1,9056.7847190625,1159772.375,1.74375,1.71875,0.7890625,13.8875
41,Cuba,Developing,77.975,57.5625,16,4.190666666666667,364.5638580836875,96.25,0,49.4625,16,98.6875,6.4286666666666665,93.9375,0.1,3180.4348844375,,3.44375,3.26875,0.742125,14.69375
42,Cyprus,Developed,79.675,54.125,0,10.260666666666667,932.6673898875,92.625,31,53.162499999999994,0,98.0,6.760000000000001,98.0,0.1,13898.885501249999,390274.375,0.90625,1.0,0.8330625,13.51875
43,Czechia,Developed,76.76875,71.8125,0,13.026,0.0,97.28571428571429,367,55.7125,0,98.0,7.05,98.125,0.1,,,1.99375,2.0625,,
44,C̫te d'Ivoire,Developing,50.3875,417.3125,984,2.8373333333333335,0.0,63.93333333333333,27332,21.325,1389,65.9375,5.723333333333333,68.9375,4.6875,,,6.7375,6.69375,,
45,Democratic People's Republic of Korea,Developing,69.19375,160.8125,159,3.0,0.0,88.84615384615384,3561,25.625,205,98.25,,83.25,0.1,,,5.4375,5.45,,
46,Democratic Republic of the Congo,Developing,55.6875,265.375,3752,1.424,0.0,51.333333333333336,782763,15.8375,5176,55.625,3.558666666666667,41.875,1.81875,,,8.14375,7.95625,,
47,Denmark,Developed,79.25625,66.0625,0,10.708,5313.33579445625,,252,55.825,0,88.0,7.822666666666667,88.0,0.1,33067.407915625,4260081.375,1.1625,0.9375,0.899875,17.19375
48,Djibouti,Developing,60.75625,274.6875,23,0.764,98.838448121875,78.0,1822,26.25,30,74.875,7.070666666666667,75.125,3.28125,897.9998706499999,634116.1875,5.84375,5.7,0.4184375,4.75
49,Dominica,Developing,,,0,0.01,11.41955507,96.0,0,58.4,0,96.0,5.58,96.0,0.1,722.75665,,2.7,2.6,0.721,12.7
50,Dominican Republic,Developing,72.34375,143.5,103,6.030666666666666,360.678997136875,65.125,368,48.14375,125,75.625,4.681333333333333,83.1875,1.41875,3509.4991863125,4448642.6875,3.46875,3.375,0.685,12.74375
51,Ecuador,Developing,74.725,132.125,118,3.8073333333333332,109.40605116625,78.0625,332,43.3125,140,78.75,5.88,89.1875,0.19375,2005.3524679375,8710592.0625,1.38125,1.26875,0.698875,13.0125
52,Egypt,Developing,71.5,170.625,900,0.18866666666666668,0.0,96.6875,17108,49.2625,1082,96.6875,5.346,96.6875,0.1,,,3.125,3.075,0.647625,11.89375
53,El Salvador,Developing,71.74375,155.0625,41,2.6926666666666668,341.56915731,86.0625,2,45.325,46,82.25,7.1033333333333335,87.1875,0.2875,2517.8346304375,2930826.5,1.80625,1.725,0.6504375,12.65625
54,Equatorial Guinea,Developing,55.3125,279.375,48,7.342,552.671538039375,9.0,4712,17.85625,64,36.875,2.929333333333333,29.9375,5.1375,7902.4107885625,556765.3125,6.65625,6.6,0.5361875,8.325
55,Eritrea,Developing,60.6875,308.625,101,0.608,6.4360693815625,86.42857142857143,2800,15.15625,143,87.8125,3.4686666666666666,82.25,1.2125,259.3953562916667,2071919.3333333333,8.08125,8.01875,0.2553125,4.925
56,Estonia,Developing,74.94375,169.6875,0,9.014666666666667,859.5750084284375,86.83333333333333,56,56.68125,0,94.25,5.687333333333333,94.125,0.1,8340.4329494375,791848.6875,2.075,2.1375,0.8233125,15.9375
57,Ethiopia,Developing,59.1125,285.5625,3004,1.0746666666666667,32.482109182375,64.11111111111111,63174,14.8,4616,51.125,4.901333333333333,46.1875,2.725,264.97094995,43950760.75,8.38125,6.475,0.346125,6.8
58,Fiji,Developing,68.7125,125.0,0,1.4626666666666666,139.1568375969375,98.875,800,50.5625,0,97.125,3.8973333333333335,91.6875,0.1,2947.612688875,650205.125,4.09375,3.79375,0.7022499999999999,14.18125
59,Finland,Developing,80.7125,68.875,0,9.552666666666665,2889.3154698925,,45,52.3,0,97.1875,8.614,98.25,0.1,25268.649758125,3493082.3125,0.9,0.80625,0.8729375,17.29375
60,France,Developing,82.21875,73.125,47,12.404666666666666,3751.50657413375,51.25,42586,51.98125,55,98.25,6.556,98.0625,0.1,26465.551380625,27581733.125,0.625,0.6,0.8705625,15.9
61,Gabon,Developing,62.24375,220.4375,32,7.8773333333333335,261.077778610625,57.63636363636363,5597,28.81875,48,57.25,3.1753333333333336,54.5,8.0,5179.256188625,1007302.3125,6.91875,6.775,0.654375,12.4125
62,Gambia,Developing,59.4625,249.625,48,2.134666666666667,0.0,95.375,660,20.3,91,92.75,5.308666666666666,88.5,2.34375,,,7.5875,7.50625,0.4201875,8.125
63,Georgia,Developing,73.50625000000001,114.9375,19,5.623333333333333,99.5257140183125,77.25,20768,47.74375,20,81.1875,7.3306666666666676,83.5,0.1,2158.28086928125,10152.375,2.75,2.89375,0.6779375,12.675
64,Germany,Developed,81.175,71.25,40,11.628666666666668,3900.89026089375,77.4375,23955,51.99375,52,94.8125,4.073333333333333,89.875,0.1,24337.7491,38757347.4375,1.1187500000000001,1.1062500000000002,0.8945000000000001,16.6
65,Ghana,Developing,60.8625,180.0625,645,1.2686666666666668,77.249122034875,67.5,54716,21.725,957,78.9375,4.328666666666666,73.875,2.2875,834.3761008125,11534782.625,7.65,7.575,0.525875,9.5125
66,Greece,Developing,81.21875,73.625,3,8.803333333333335,1759.24682044375,88.9375,398,58.68125,7,91.4375,9.038666666666668,96.625,0.1,16454.23587,1550208.4375,0.8125,0.73125,0.8423125,15.9375
67,Grenada,Developing,73.29375,153.75,0,8.843333333333334,363.84122981125,95.46666666666667,0,40.2125,0,95.125,6.188666666666666,95.625,0.1,6259.5172613125005,,3.9187499999999997,3.93125,0.2331875,15.20625
68,Guatemala,Developing,71.73125,131.1875,210,2.268666666666667,334.027048028125,87.0909090909091,0,40.44375,258,71.4375,6.593999999999999,85.5625,0.375,2365.83447375,5933907.5,1.3375,1.3375,0.5844374999999999,9.8625
69,Guinea,Developing,56.0125,259.875,493,0.16466666666666668,15.8912829451875,58.666666666666664,24352,17.46875,774,52.4375,4.009333333333333,47.875,2.19375,279.46479789375,4252798.9375,7.64375,7.625,0.36475,7.175
70,Guinea-Bissau,Developing,55.36875,158.3125,73,2.26,21.9616446626875,75.0,5301,19.43125,117,74.75,5.870666666666667,65.25,4.81875,384.21493053125,981883.1875,7.5,7.38125,0.2541875,8.2875
71,Guyana,Developing,65.6375,203.9375,9,7.406000000000001,187.7650179566875,88.2,0,36.38125,16,87.75,6.0840000000000005,88.1875,1.0625,1783.8809370625,494437.25,5.68125,5.46875,0.6198125,10.7875
72,Haiti,Developing,59.86875,168.3125,272,5.486,36.129200178937495,40.666666666666664,1151,39.275,397,53.8125,6.183333333333334,48.0,2.7375,434.36012815,3852657.6875,4.24375,4.25625,0.4620625,8.45
73,Honduras,Developing,72.99375,142.0,74,3.0420000000000003,192.11563525374999,95.0625,0,39.74375,91,95.375,8.147333333333332,95.625,0.81875,1421.7880825,2832386.5625,2.4,2.3375,0.590125,10.8875
74,Hungary,Developed,73.825,147.0625,9,11.427333333333333,376.831080251,,33,56.93125,14,98.9375,7.768666666666666,99.0,0.1,8513.641831249999,1604902.25,1.91875,1.9125,0.8043125,15.11875
75,Iceland,Developed,82.44375,49.375,0,7.465999999999999,4991.59530846875,,0,51.075,0,89.75,8.546,89.75,0.1,30159.5029075,186177.625,0.95625,0.9,0.8853125000000001,18.15625
76,India,Developing,65.41875,146.5625,21867,1.942,33.2426210915625,35.0,743267,14.79375,29000,69.625,4.358666666666666,67.0625,0.25625,837.9200509125,421467690.9375,27.1,27.94375,0.5495,9.98125
77,Indonesia,Developing,67.55625,166.5625,2419,0.06866666666666667,83.768315591875,73.5625,259919,19.95625,2986,62.1875,2.6633333333333336,72.375,0.2,1669.116783075,116555259.4375,3.41875,3.9437499999999996,0.6414375,11.6125
78,Iran (Islamic Republic of),Developing,73.85625,107.0,403,0.016,0.0,97.75,45252,48.63125,475,98.25,6.29,98.375,0.1,,,7.76875,7.95625,0.715,12.65625
79,Iraq,Developing,70.35625,136.75,499,0.13466666666666666,120.663689503125,64.875,55270,48.59375,608,55.625,4.435833333333334,65.75,0.1,3542.55753725,18572840.8125,5.4,5.1625,0.6335,9.90625
80,Ireland,Developed,80.15,72.4375,0,12.654,4867.3126046874995,86.83333333333333,2792,53.6875,0,86.125,7.728666666666667,86.125,0.1,33835.272005,3599794.5625,0.3,0.21875,0.8915,17.65625
81,Israel,Developing,81.3,59.5,15,2.497333333333333,1467.535826921875,97.4375,2223,54.9875,16,94.25,7.478666666666667,89.0,0.1,18860.476015625,27862.875,1.14375,1.1,0.8731875,15.7125
82,Italy,Developed,82.1875,54.1875,32,8.266666666666667,2937.1376542306252,95.5,31382,56.15,37,96.125,8.777333333333333,94.75,0.1,21234.782370625,27643788.9375,0.5125,0.525,0.8580625,15.93125
83,Jamaica,Developing,74.29375,141.25,16,3.624,134.249450170875,83.15384615384616,3,45.425,16,89.625,5.144,89.3125,1.2375,2509.546469625,1500309.125,1.88125,1.7375,0.709625,12.275
84,Japan,Developed,82.5375,57.125,46,7.040666666666667,3923.05032917375,,110013,25.60625,64,96.0,6.472666666666667,96.25,0.1,24892.544784375,97384.0625,1.8125,1.54375,0.8765625,14.975
85,Jordan,Developing,72.9875,114.3125,64,0.5173333333333333,273.59953421875,97.0,424,53.0,64,97.125,8.781333333333333,97.0,0.1,1822.629925625,4895075.6875,3.8874999999999997,3.86875,0.729,13.237499999999999
86,Kazakhstan,Developing,66.7625,232.0625,114,6.641333333333334,203.03090856,97.3125,19951,45.15625,129,97.5,4.019333333333333,96.4375,0.1,4040.586664375,8340547.4375,2.4375,2.54375,0.7450625,14.025
87,Kenya,Developing,57.48125,348.5625,1054,1.602,61.6554643435,74.57142857142857,42302,15.5625,1578,70.1875,4.668666666666667,70.5,8.7625,716.77006788125,16826787.625,8.4,8.2875,0.49712500000000004,9.96875
88,Kiribati,Developing,65.15,129.4375,0,0.4406666666666667,77.12610334499999,75.1875,0,69.43125,0,75.25,5.728,74.9375,0.1,1175.29241553125,35919.9375,0.15625,0.1375,0.36374999999999996,11.69375
89,Kuwait,Developing,73.84375,83.25,8,0.021333333333333333,1719.8409805812498,98.1875,246,59.60625,16,98.1875,2.8093333333333335,98.5,0.1,31914.378339375,,3.28125,3.15625,0.7895000000000001,13.725
90,Kyrgyzstan,Developing,69.08125,173.6875,60,2.267333333333333,0.0,85.5625,18506,35.1125,66,95.875,6.118666666666667,96.5625,0.1125,,,3.35625,3.4125,0.6220625,12.3375
91,Lao People's Democratic Republic,Developing,62.38125,197.1875,170,3.505333333333333,0.0,60.30769230769231,8844,14.3625,236,58.8125,3.4440000000000004,61.5,0.2,,,6.275,6.38125,0.515625,9.23125
92,Latvia,Developed,73.73125,161.8125,0,8.864,530.60519180375,88.9375,53,51.30625,0,95.0625,6.331333333333333,95.0,0.1,7951.824896625,1174562.6875,2.40625,2.43125,0.7925,15.56875
93,Lebanon,Developing,74.2,65.3125,16,1.7853333333333334,333.0479451320625,70.5,4723,55.3375,16,71.25,6.6706666666666665,70.5,0.1,4696.1923789375,2489104.5,4.76875,4.71875,0.4696875,13.74375
